transactionId,reviewDate,rateQ1,rate_Q2,rateQ3,rateQ4
1,2022-06-06,1,3,3,0.5
2,2023-01-14,1,3,1,3
3,2022-09-19,1.5,4.5,3.5,3.5
4,2022-01-05,3,3.5,1.5,1
5,2022-10-02,2.5,3,3,2.5
6,2022-04-24,3.5,3,0.5,3
7,2022-03-20,3.5,1,4.5,1.5
8,2022-10-01,3,1.5,3,2.5
9,2022-12-01,1,2,4,1.5
10,2023-02-07,1,3.5,3,3.5
11,2022-07-31,1.5,1.5,3.5,2.5
12,2022-03-09,0.5,4,1.5,2.5
13,2022-03-18,1.5,3,2,3
14,2022-03-16,1,3.5,3.5,0.5
15,2022-12-21,1.5,4.5,4.5,0.5
16,2022-09-29,4.5,1.5,2,0.5
17,2022-07-25,4,2.5,3.5,1
18,2022-10-19,0.5,3.5,4.5,4
19,2023-03-21,0.5,3.5,1.5,4
20,2022-12-18,4,1.5,4,2.5
21,2022-05-04,4,3,3,3
22,2022-08-02,1.5,4,4.5,2
23,2022-07-16,4,2.5,3,3
24,2022-02-22,2,2,1,3.5
25,2022-12-15,1.5,2,1,3.5
26,2022-10-21,4.5,4,1,0.5
27,2022-08-08,1.5,3.5,1.5,1.5
28,2022-05-31,3.5,4,3.5,2.5
29,2022-12-29,4,3,3.5,5
30,2022-07-23,1,3,3,4
31,2022-03-09,3,2.5,2,3
32,2022-01-23,3,1.5,2,2.5
33,2022-03-18,2,4,0.5,3.5
34,2022-08-07,1.5,1,4,1
35,2022-04-03,2,3,2,1
36,2022-08-04,1.5,3.5,4,0.5
37,2022-08-06,3,3,2.5,3
38,2022-07-22,1.5,2,1,3.5
39,2022-09-28,1,1,3,2
40,2023-03-23,2.5,3.5,5,0.5
41,2023-01-15,4,1.5,0.5,4.5
42,2022-08-22,0.5,2,3,2.5
43,2022-10-16,4.5,3.5,4.5,4
44,2022-03-14,1.5,1.5,4,2
45,2023-02-25,1.5,2.5,0.5,2.5
46,2022-12-08,2.5,2.5,4.5,1
47,2022-11-06,1.5,3.5,3.5,2.5
48,2022-12-09,1,1.5,3.5,3.5
49,2022-07-13,2.5,2,1.5,2
50,2022-05-18,1.5,3,3.5,3.5
51,2022-05-24,1.5,1.5,0.5,3
52,2022-02-09,1,1,3,1.5
53,2022-01-05,3,4,1,1.5
54,2022-08-03,4.5,3,2,3
55,2022-07-05,2.5,1.5,1,0.5
56,2023-01-22,1,3,4.5,1
57,2022-02-11,2.5,4,4.5,0.5
58,2022-10-04,2.5,2.5,2.5,3
59,2022-12-23,4,3.5,3.5,1.5
60,2022-08-02,1.5,1.5,2.5,3
61,2022-12-16,3.5,2,1,4.5
62,2023-02-17,2.5,3.5,4,3
63,2023-02-23,1,3.5,2.5,3.5
64,2023-03-29,3,2.5,4.5,1.5
65,2022-01-31,2.5,3.5,3,2.5
66,2023-02-02,3.5,2.5,3,3
67,2023-03-11,1.5,3,4.5,1
68,2022-05-17,1.5,1.5,1.5,1
69,2023-02-11,1,0.5,1.5,3.5
70,2022-06-11,3.5,3,2,0.5
71,2022-05-12,2.5,3,1.5,3.5
72,2022-09-29,1.5,3,1,2.5
73,2022-01-24,0.5,3,2.5,5
74,2022-04-04,2,1,4,4
75,2022-11-30,4,3,3.5,1
76,2022-07-11,0.5,3,2.5,0.5
77,2022-08-15,1,3.5,2.5,1
78,2022-09-01,2,4,3,1.5
79,2022-09-18,3.5,1.5,4,4
80,2022-03-05,3.5,3,2.5,2.5
81,2023-02-14,2,1,3.5,4.5
82,2022-08-04,2.5,2.5,5,2
83,2022-11-26,5,2.5,3.5,4
84,2023-03-07,3,4,0.5,1.5
85,2022-11-26,3,2.5,3.5,3.5
86,2023-03-13,3,1,4.5,2.5
87,2023-02-04,3,1.5,1,2
88,2023-01-24,5,5,2.5,3
89,2023-02-11,4,1.5,2.5,0.5
90,2023-03-08,1,2,4,3
91,2022-03-29,0.5,4,0.5,3.5
92,2022-01-18,4,3.5,3.5,3.5
93,2022-11-02,2,3.5,4,1.5
94,2022-05-06,3.5,3,4.5,2.5
95,2022-04-08,3,3,1,3.5
96,2023-03-14,2.5,4,3,0.5
97,2022-09-09,2,3.5,3.5,4
98,2022-08-29,4,3,3.5,2
99,2022-10-15,2.5,1.5,0.5,2.5
100,2022-06-19,1.5,2,4,3